"CellType","Mean_FHL","Mean_HC","Delta","P_value","FDR"
"CD8_Tcells",-0.887514748838384,0.00498024804983165,-0.892494996888215,0.000350965283763001,0.001052895851289
"CD4_Tcells",-0.510586573795454,-0.0253558775022727,-0.485230696293182,0.012949859925933,0.0194247898888995
"NK_cells",-1.15189792432323,0.00688081806464647,-1.15877874238788,0.000179567647772212,0.000808054414974954
"B_cells",-1.68204384723864,0.0544158850340909,-1.73645973227273,6.27886636524523e-06,5.6509797287207e-05
"Monocytes",-0.830938143506493,-0.0509771602077922,-0.779960983298701,0.0274732923679042,0.0353228044730197
"Macrophages",-0.234273533840909,0.0136691798325758,-0.247942713673485,0.143539148060175,0.161481541567697
"Neutrophils",1.60956724657955,0.0938345070090909,1.51573273957045,0.00150255258440145,0.00338074331490327
"Erythrocytes",1.89811940944156,0.104666320391342,1.79345308905022,0.00492471444285779,0.00886448599714401
"Hematopoietic_Stem",0.117367633984849,0.0508469497666667,0.0665206842181819,0.667030302717425,0.667030302717425
