"Module","Cor_FHL","P_value","Size","FDR"
"2",-0.518957302330213,0.000307079750630347,75,0.000767699376575868
"4",-0.690637678914952,2.12379000849019e-07,2463,1.06189500424509e-06
"10",-0.0861764615335645,0.578067209280858,444,0.638986447396566
"1",-0.873720260755256,9.95761620122967e-15,436,1.49364243018445e-13
"9",-0.453883696561761,0.00197101562425272,294,0.00328502604042119
"15",0.0148034714738481,0.924018251836634,267,0.924018251836634
"11",0.431859837232872,0.00342022772440901,207,0.00513034158661352
"14",0.337962885126959,0.0248497910761772,202,0.0338860787402416
"8",0.593450286473867,2.17878784507349e-05,109,6.53636353522047e-05
"12",-0.0926141778955264,0.549883484737852,107,0.638986447396566
"13",0.0820683442718496,0.596387350903462,100,0.638986447396566
"5",0.492661613272259,0.00068051402118089,100,0.00145824433110191
"3",0.746432468059146,6.00289243685825e-09,57,4.50216932764369e-08
"6",0.485194731357795,0.000843373376354159,51,0.00158132508066405
"7",0.603817567162485,1.42909026707472e-05,45,5.3590885015302e-05
