"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"IL1B",3.92305948124242,1.01685091634091,1.15273114784109e-15,4.71982904242538e-13,3.05469372554356,0.000234625178080454,0.0126846093111598,0.221349117914431
"SLC7A11",3.28154465387878,0.859453632954545,2.54801645085684e-12,2.17651565232192e-10,3.06739687218127,0.000594539817326331,0.0222743821035154,0.0652582257091615
"TNF",2.61610960542424,0.634862818659091,2.84599972765472e-13,3.57507789318038e-11,2.17667630052863,0.000752786837888631,0.02555765170606,0.167972054375889
"FTH1",1.13098907409091,0.329824438068182,1.25794584131897e-08,2.19114465264001e-07,1.2245572599491,0.00114453033236509,0.0325915694881395,0.0827312906920862
"JAK2",-0.848198108696969,-0.127486606022727,3.42949510217021e-06,2.60351467852274e-05,-1.17873685097666,0.00199470835846215,0.0454125767536878,0.389695212581265
"NFKB1",1.42658611866666,0.367495368272727,2.50502555808837e-13,3.17547436703458e-11,1.03549814951477,0.00241019746592535,0.0503618071280195,0.274142558962667
"SLC25A37",2.60260783566666,0.892542441431818,5.09647892663232e-12,3.65219152611521e-10,1.23522228361971,0.011398478881052,0.123079500801239,0.525390546093049
"TFRC",0.831383091727272,0.20958255675,2.0419760619606e-05,0.00012039314964983,0.787627827787759,0.0168754214337149,0.155871377472743,0.0526294849809945
"CXCL8",4.12285165493939,1.05414906788636,2.86982591491041e-12,2.36622132868385e-10,1.99471765277478,0.0366686046755702,0.236145371787335,0.516180105489604
"NCOA4",-0.00311983821212122,-0.00736020425,0.966215669421587,0.97576542232564,-0.243519756525838,0.0384342815187036,0.241199249535068,NA
"HMOX1",0.277501924848484,0.140850804545455,0.145442806578974,0.215405446597822,0.841924666985597,0.0458095163965833,0.264038386679902,1
"GPX4",0.351956053969696,0.00189371315909093,0.00966655921965518,0.0224209158396586,0.601997490009283,0.0485125805741091,0.271912377469843,0.710433684033506
"STAT1",-0.223232588212121,-0.115910242477273,0.237831157805959,0.323495820060271,-0.713965520296933,0.0824019726844656,0.354134458981035,1
"STAT3",0.889530534242423,0.268178944772727,1.2864313257329e-07,1.56444994083292e-06,0.564171957639759,0.100573455020812,0.392067566989675,0.365764371292503
"IFNG",1.08384030327273,0.280366397363636,0.00251956134557912,0.00731446880571535,1.11852763312327,0.131841268206159,0.445063275773398,0.0320040966790045
"IL6",3.54199058957575,0.921755024181819,3.24075242888798e-09,7.01177995125661e-08,1.34416119566232,0.21339762296661,0.564088989707868,0.620506841656144
"FTL",0.291573353848484,0.0394243106136363,0.00598167490615693,0.0150440074927548,0.198188712127051,0.290451072572232,0.64355495484333,0.320278381027783
"SLC40A1",0.466038067878787,0.102098864,0.0259482541289007,0.0510949715926855,0.213796334927764,0.616763297130959,0.861242466194875,0.541247057561463
"NFE2L2",-0.23248306960606,-0.0821240856136363,0.0987452832986744,0.156223553477789,-0.125126687866885,0.639187122558482,0.871968826181208,0.461781504868673
"GCLM",1.11430992860606,0.286462425363636,5.9186640428718e-10,1.70570945527027e-08,0.0642797330730982,0.806177822436449,0.940093234212329,0.942314313618736
