"Gene","logFC.unadj","logFC.adj","CCI","adj.P.Val.adj"
"TLR4",0.103481909163105,0.126400059572978,0.221470115841692,0.995950754218297
"S100A8",0.124271582123557,0.0716119456751942,0.423746407251867,0.816971773153376
"S100A9",0.130394113898759,0.0670993834848023,0.485410947790942,0.629242990930723
"MMP8",1.15492182651334,0.0951358631005342,0.917625712046896,0.995950754218297
"IL10",0.298669881226804,0.00654787126398082,0.978076559855701,0.99985041382331
"CXCL8",-0.28088499015061,0.168745359676538,1,0.995921282475893
"HIF1A",0.113699303956107,-0.000274074724399724,1,0.999879809274441
"MPO",0.305877782587926,-0.143787380362019,1,0.934489349717066
"ELANE",0.456337844125041,-0.00401568521676467,1,0.99985041382331
"MMP9",0.330240201786433,-0.0337307637313686,1,0.99985041382331
"IL1B",-0.0290276227765818,0.157938535586548,NA,0.744397952839199
"TNF",0.00589174833206038,0.0721831383180743,NA,0.995950754218297
"IL6",0.026722173130037,0.0121317009083211,NA,0.99985041382331
"HMOX1",0.000584607397646424,0.102848834915198,NA,0.989979065161205
"CD14",0.0241982469424875,0.201677508467725,NA,0.525210142438687
"TLR2",0.0723340297156985,0.0372412029882191,NA,0.99985041382331
"NFKB1",-0.00580445024298566,0.0768059521521606,NA,0.873559404709176
"STAT3",-0.00567555885497347,0.0211059953534332,NA,0.99985041382331
"FCGR3B",-0.0739319518550222,0.0786228858698146,NA,0.993580024843621
"CSF3R",0.0206547874821139,0.0108376478435537,NA,0.99985041382331
