Gene,logFC.unadj,AveExpr,t,P.Value.unadj,adj.P.Val.unadj,logFC.adj,P.Value.adj,adj.P.Val.adj,CCI_legacy,CCI_stabilized
ACSL4,1.50816757381352,7.30240660062681,7.80111982183421,1.21449066975174e-13,1.36414072282375e-12,0.325416534133146,0.247707011688228,0.428806569374795,0.784230519351173,0.784230519351173
FTH1,0.411849275002883,12.8307587529275,6.20316810373506,1.97620745620934e-09,1.28515996193582e-08,0.175513956165335,0.0809237478389561,0.204138406896948,0.573839346532523,0.573839346532523
FTL,0.251809586450805,13.2836437463406,8.05403111782269,2.30169966945494e-14,2.83133808801769e-13,0.121151975499475,0.0080492749253988,0.042624161548248,0.518874649662538,0.518874649662538
GCLM,2.09247673412393,7.72050460839131,13.0691256579911,8.231867810021641e-31,1.0581187387263799e-28,0.572801537183325,0.0073281729837274,0.0400068236381973,0.726256675717285,0.726256675717285
GPX4,-0.127529299355108,9.36532609499638,-0.87066191930932,0.384682773884499,0.496168998617585,0.296028356560554,0.176249436357297,0.342946962667641,1.0,1.0
GSS,-0.104411946040044,4.79650344575724,-1.08815837687043,0.277458627515355,0.385139440487249,-0.185221753363608,0.209378771575929,0.38383969910864,0.773951740087018,0.773951740087018
HMOX1,0.985632426249652,6.31349357459058,6.11242481365888,3.2731415599407e-09,2.07105859766159e-08,0.325658142700019,0.17963665888648,0.347229503195118,0.669594735291782,0.669594735291782
IFNG,-0.161496655537769,2.04872765633696,-2.36061081850155,0.0189287439882224,0.0405590618515197,0.0921010762955306,0.363972586897299,0.546938972035348,1.0,1.0
JAK2,1.02533940657688,7.22518551148189,6.77266831960286,7.39884525939959e-11,5.87185499601327e-10,0.185085918102866,0.402240615637333,0.583274750424996,0.819488145178405,0.819488145178405
LPCAT3,0.348540934596487,3.60636034012319,4.50104688541714,9.91843994175577e-06,3.98759279331176e-05,-0.153074260372591,0.17135433515867,0.336415581639812,1.0,1.0
NCOA4,-0.0753177161525549,12.2596370553261,-0.704386341109796,0.481776195045653,0.589467344526447,0.172334559357972,0.274363881814628,0.458441949603352,,
NFE2L2,0.0857049983491584,9.89407401426087,0.900190026251909,0.368790783729127,0.479973443215155,0.0468638553645541,0.748049660763703,0.851723127060141,,
SLC25A37,0.697336284617857,12.8959429466884,6.88846673422253,3.7032635027048e-11,3.04021058277308e-10,0.712431126736691,5.3010762037114e-06,0.0002673684420846,0.0216464315019922,0.0216464315019922
SLC40A1,1.14170424373594,10.4254346777899,9.52005969569115,8.391507763621791e-19,1.88233036893791e-17,0.0837108476691512,0.610014179618142,0.753990839482636,0.926679043081045,0.926679043081045
SLC7A11,0.35554559244783,3.14668250546377,3.6678656598796,0.0002925516748275,0.0009323836634704,0.564060763142324,0.0001584170630478,0.0028675493690943,0.586465351064898,0.586465351064898
STAT1,-0.478580536055002,10.0991764113043,-3.17815211074323,0.0016478074016028,0.0045429369018766,0.0779904745409529,0.728459719736721,0.838309950207045,1.0,1.0
STAT3,0.81779382345647,9.56974198203624,7.48097163223892,9.51268266769513e-13,9.592339331726069e-12,0.119497038144326,0.451360672848522,0.626190407153419,0.853878771498589,0.853878771498589
TFRC,-0.002170179715693,8.78138860772464,-0.0125545801519431,0.989992075931267,0.992856083865495,-0.306004232694027,0.248911607492762,0.429980942199653,,
TNF,0.370252261388459,2.98479485111594,4.54210746782967,8.277986009905e-06,3.36532195996138e-05,0.0806338691369425,0.512810761180769,0.677744351652958,0.78221910425459,0.78221910425459
