Pathway,Pathway_size,In_top100,Fraction_pct,Expected_in_top100,Enrichment_fold,Overlapping_genes
Cytotoxic (T/NK),12,0,0.0,0.05765904285988853,0.0,
Interferon response,15,0,0.0,0.07207380357486065,0.0,
Inflammatory cytokines,11,1,9.090909090909092,0.052854122621564484,18.919999999999998,IL1B
JAK-STAT,14,0,0.0,0.06726888333653662,0.0,
Inflammasome,7,1,14.285714285714286,0.03363444166826831,29.73142857142857,IL1B
Haematopoiesis,8,0,0.0,0.03843936190659235,0.0,
Erythroid,7,0,0.0,0.03363444166826831,0.0,
Neutrophil,9,0,0.0,0.04324428214491639,0.0,
Monocyte/macrophage,6,0,0.0,0.028829521429944265,0.0,
Ferroptosis,20,1,5.0,0.09609840476648088,10.406,IL1B
