"Seed","N","Mean_CCI","Median_CCI","SD_CCI","Pct_CCI_gt_0_5","Pct_CCI_lt_0_2"
42,100,0.50380077039571,0.443201996161834,0.307618387482276,45,17
123,100,0.491387398593353,0.479574277496429,0.32074869622066,47,26
456,100,0.404644609180517,0.340409507516767,0.318876146545432,29,34
789,100,0.472574920819067,0.434940701553959,0.324575853148994,41,21
2026,100,0.529579293839697,0.475750605611397,0.343956224785609,48,25
31415,100,0.506395190259877,0.469256246378283,0.32916383979026,45,23
141421,100,0.497946197038397,0.394341776570192,0.340420285858287,42,23
271828,100,0.443834316183208,0.391595903213708,0.324244546146662,37,29
618034,100,0.466835662336363,0.418680311880164,0.319401196778777,37,25
999999,100,0.49489484378273,0.473763212754256,0.342234358164277,44,27
