"tol","max_iter","rep","n_iter","converged","prop_cor_mean","auroc","runtime"
0.001,5,1,5,FALSE,0.93962657179374,0.975939285714304,0.0548210144042969
0.001,5,2,5,FALSE,0.87727345142701,0.995991071428608,0.0525331497192383
0.001,5,3,5,FALSE,0.930290065269192,0.991650000000019,0.0531609058380127
0.001,10,1,10,FALSE,0.81061044228933,0.989078571428593,0.105286836624146
0.001,10,2,10,FALSE,0.9033883736992,0.9945071428572,0.105670928955078
0.001,10,3,10,FALSE,0.733628032822682,0.986300000000028,0.111307144165039
0.001,20,1,20,FALSE,0.86038336962306,0.988903571428578,0.215535879135132
0.001,20,2,14,TRUE,0.909486223459685,0.989405357142871,0.144196033477783
0.001,20,3,15,TRUE,0.86780419654661,0.983014285714313,0.154412031173706
0.001,50,1,50,FALSE,0.833880353789967,0.992392857142895,0.519209861755371
0.001,50,2,49,TRUE,0.947778315021866,0.991762500000008,0.509758949279785
0.001,50,3,17,TRUE,0.742701879335721,0.990635714285717,0.172861814498901
0.001,100,1,67,TRUE,0.916718980048428,0.989442857142856,0.699846982955933
0.001,100,2,65,TRUE,0.888935560669197,0.995148214285726,0.670897960662842
0.001,100,3,57,TRUE,0.844040291029418,0.993096428571426,0.591682195663452
1e-04,5,1,5,FALSE,0.937493058407013,0.985430357142858,0.0529689788818359
1e-04,5,2,5,FALSE,0.888739838523808,0.986150000000015,0.0539150238037109
1e-04,5,3,5,FALSE,0.938648713592285,0.981678571428564,0.0542609691619873
1e-04,10,1,10,FALSE,0.894886557809398,0.980169642857155,0.113554954528809
1e-04,10,2,10,FALSE,0.920694168196535,0.993751785714331,0.105433940887451
1e-04,10,3,10,FALSE,0.916213801488041,0.987444642857166,0.145535945892334
1e-04,20,1,20,FALSE,0.827107943439553,0.981419642857164,0.20612096786499
1e-04,20,2,20,FALSE,0.930740898568184,0.98680178571431,0.207412958145142
1e-04,20,3,15,TRUE,0.763894573503577,0.998650000000021,0.154722929000854
1e-04,50,1,50,FALSE,0.825800430449581,0.987419642857187,0.514882802963257
1e-04,50,2,26,TRUE,0.807092872316452,0.98508928571431,0.273410081863403
1e-04,50,3,38,TRUE,0.841377377085542,0.985691071428569,0.393485069274902
1e-04,100,1,44,TRUE,0.785587730549448,0.977878571428554,0.455550193786621
1e-04,100,2,100,FALSE,0.943470219290739,0.996550000000011,1.0412929058075
1e-04,100,3,100,FALSE,0.948656410699582,0.98188392857143,1.03799915313721
1e-05,5,1,5,FALSE,0.96569992212874,0.994203571428589,0.0505249500274658
1e-05,5,2,5,FALSE,0.893832593267592,0.992978571428625,0.0555360317230225
1e-05,5,3,5,FALSE,0.851173978387736,0.993308928571457,0.0514709949493408
1e-05,10,1,10,FALSE,0.972326600766133,0.989555357142847,0.101650953292847
1e-05,10,2,10,FALSE,0.956850578846321,0.986633928571443,0.145746946334839
1e-05,10,3,10,FALSE,0.822922703382715,0.988053571428594,0.108691930770874
1e-05,20,1,20,FALSE,0.94591865584769,0.99483035714291,0.208767890930176
1e-05,20,2,20,FALSE,0.930971895481072,0.988951785714289,0.205482006072998
1e-05,20,3,20,FALSE,0.906105534139077,0.996446428571437,0.206640958786011
1e-05,50,1,50,FALSE,0.77744477101856,0.993835714285727,0.515865087509155
1e-05,50,2,50,FALSE,0.930361584834325,0.979098214285717,0.513370990753174
1e-05,50,3,50,FALSE,0.78032881020285,0.978853571428567,0.515897989273071
1e-05,100,1,90,TRUE,0.834085732087629,0.969905357142872,0.931246995925903
1e-05,100,2,50,TRUE,0.839602436297913,0.98890892857145,0.520699024200439
1e-05,100,3,100,FALSE,0.929249959398849,0.977253571428575,1.04285001754761
1e-06,5,1,5,FALSE,0.923597349014922,0.996501785714305,0.051069974899292
1e-06,5,2,5,FALSE,0.941852357864163,0.995928571428629,0.0539228916168213
1e-06,5,3,5,FALSE,0.946383287630417,0.981891071428585,0.0515880584716797
1e-06,10,1,10,FALSE,0.859945312747235,0.997435714285722,0.103468894958496
1e-06,10,2,10,FALSE,0.944846463074583,0.996571428571489,0.105320930480957
1e-06,10,3,10,FALSE,0.82236103395193,0.993017857142904,0.104156017303467
1e-06,20,1,20,FALSE,0.940239642350379,0.991132142857173,0.254788875579834
1e-06,20,2,20,FALSE,0.911962630827073,0.989421428571424,0.211761951446533
1e-06,20,3,20,FALSE,0.9597322016092,0.977753571428566,0.204142808914185
1e-06,50,1,50,FALSE,0.93490910235915,0.97936964285716,0.51396107673645
1e-06,50,2,50,FALSE,0.821237228355617,0.938674999999978,0.51950216293335
1e-06,50,3,50,FALSE,0.86078623464099,0.977216071428604,0.51617693901062
1e-06,100,1,100,FALSE,0.798987798963544,0.98669464285715,1.03912615776062
1e-06,100,2,100,FALSE,0.837333842422164,0.994064285714291,1.02362513542175
1e-06,100,3,75,TRUE,0.82158501078763,0.989716071428606,0.77891993522644
1e-07,5,1,5,FALSE,0.952911478712292,0.998692857142867,0.052361011505127
1e-07,5,2,5,FALSE,0.939093828472647,0.992880357142897,0.0522098541259766
1e-07,5,3,5,FALSE,0.901499895990423,0.998225000000026,0.0526399612426758
1e-07,10,1,10,FALSE,0.912589797631502,0.998241071428584,0.102604866027832
1e-07,10,2,10,FALSE,0.876422804551829,0.993833928571457,0.10342288017273
1e-07,10,3,10,FALSE,0.881457890072213,0.998300000000004,0.106117010116577
1e-07,20,1,20,FALSE,0.899664917048575,0.988621428571461,0.256592035293579
1e-07,20,2,20,FALSE,0.947864050639715,0.995942857142862,0.20915699005127
1e-07,20,3,20,FALSE,0.869109199213322,0.983708928571447,0.207705020904541
1e-07,50,1,50,FALSE,0.919658749117377,0.986537499999987,0.515111923217773
1e-07,50,2,50,FALSE,0.773740625263421,0.991466071428619,0.514285087585449
1e-07,50,3,50,FALSE,0.86956376902298,0.995873214285775,0.527178049087524
1e-07,100,1,73,TRUE,0.80798925829764,0.978246428571437,0.76152515411377
1e-07,100,2,64,TRUE,0.93347237668853,0.987360714285709,0.660576820373535
1e-07,100,3,55,TRUE,0.94314376901508,0.994437500000031,0.568098068237305
