Table_Caption,Table 1G: Runtime and object-footprint scalability benchmark
"n_genes","n_samples","bootstrap_iterations","mode","runtime_sec","object_footprint_mb"
1000,24,0,"CADE-lite",0.00800000000000978,0.272796630859375
1000,24,0,"CADE-full",0.123999999999995,0.261825561523438
1000,24,0,"CADE-ILR",0.0300000000000011,0.272796630859375
3000,48,0,"CADE-lite",0.0260000000000105,1.37527465820312
3000,48,0,"CADE-full",0.131,1.34666442871094
3000,48,0,"CADE-ILR",0.0220000000000056,1.37527465820312
6000,72,0,"CADE-lite",0.0470000000000113,3.85104370117188
6000,72,0,"CADE-full",0.183999999999997,3.79716491699219
6000,72,0,"CADE-ILR",0.046999999999997,3.85104370117188
3000,48,25,"CADE-lite",0.564000000000007,1.37565612792969
3000,48,0,"CADE-full",0.135999999999996,1.34666442871094
3000,48,0,"CADE-ILR",0.0210000000000008,1.37527465820312
3000,48,50,"CADE-lite",1.111,1.37565612792969
3000,48,0,"CADE-full",0.129000000000005,1.34666442871094
3000,48,0,"CADE-ILR",0.0210000000000008,1.37527465820312
