Table_Caption,Table 4: Expression of ferroptosis- and iron-metabolism-related genes in FHL PBMC (n=11 FHL vs. 30 HC)
Gene,Function,logFC,95% CI,FDR
*SLC7A11*,System Xc⁻ cystine importer,+3.28,"[2.89, 3.67]",2.0×10⁻¹⁰
*SLC25A37*,Mitochondrial iron importer,+2.60,"[2.27, 2.93]",2.7×10⁻¹⁰
*GCLM*,GSH synthesis,+1.11,"[0.91, 1.31]",2.2×10⁻⁸
*FTH1*,Iron storage (heavy chain),+1.13,"[0.93, 1.33]",2.9×10⁻⁷
*TFRC*,Transferrin receptor,+0.86,"[0.64, 1.08]",1.8×10⁻⁶
*GPX4*,Ferroptosis suppressor,+0.35,"[0.05, 0.65]",0.024
*FTL*,Iron storage (light chain),+0.29,"[0.08, 0.50]",0.015
*SLC40A1*,Iron exporter (ferroportin),+0.47,"[0.00, 0.94]",0.054†
*HMOX1*,Heme oxygenase-1,+0.28,"[-0.17, 0.73]",0.220
*NCOA4*,Ferritinophagy receptor,-0.003,"[-0.21, 0.20]",0.976
